,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,21,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,2,,,,,,,,,,21,,,,,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,2,,,,,1,,,1,21,,,,,,60,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,2,,,2,,,,,21,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,2,,,,2,,,,,,,,,,21,,21,,,,,,,21,,,,,,1,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,2,,,,,2,,,,,,,,1,,,,,,,,21,,,,,21,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
2,2,2,2,2,2,2,2,2,,,,,,2,,,21,,,,21,,,,,,,,,,,,,,,,,,60,,,,,,,61,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,,,,,,,,,,21,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,61,,,,,,2,,
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,21,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,2,,,,,60,,,,,,,61,,,,,1,,,,,,1,,,,,,,,,61,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,
